Writing Image
Write-Pointer 2097152
Write-Pointer 2097184
Write-Pointer 2097216
Write-Pointer 2097248
Write-Pointer 2097280
Write-Pointer 2097312
Write-Pointer 2097344
Write-Pointer 2097376
Write-Pointer 2097408
Write-Pointer 2097440
Write-Pointer 2097472
Write-Pointer 2097504
Write-Pointer 2097536
Write-Pointer 2097568
Write-Pointer 2097600
Write-Pointer 2097632
Write-Pointer 2097664
Write-Pointer 2097696
Write-Pointer 2097728
Write-Pointer 2097760
Write-Pointer 2097792
Write-Pointer 2097824
Write-Pointer 2097856
Write-Pointer 2097888
Write-Pointer 2097920
Write-Pointer 2097952
Write-Pointer 2097984
Write-Pointer 2098016
Write-Pointer 2098048
Write-Pointer 2098080
Write-Pointer 2098112
Write-Pointer 2098144
Write-Pointer 2098176
Write-Pointer 2098208
Write-Pointer 2098240
Write-Pointer 2098272
Write-Pointer 2098304
Write-Pointer 2098336
Write-Pointer 2098368
Write-Pointer 2098400
Write-Pointer 2098432
Write-Pointer 2098464
Write-Pointer 2098496
Write-Pointer 2098528
Write-Pointer 2098560
Write-Pointer 2098592
Write-Pointer 2098624
Write-Pointer 2098656
Write-Pointer 2098688
Write-Pointer 2098720
Write-Pointer 2098752
Write-Pointer 2098784
Write-Pointer 2098816
Write-Pointer 2098848
Write-Pointer 2098880
Write-Pointer 2098912
Write-Pointer 2098944
Write-Pointer 2098976
Write-Pointer 2099008
Write-Pointer 2099040
Write-Pointer 2099072
Write-Pointer 2099104
Write-Pointer 2099136
Write-Pointer 2099168
Write-Pointer 2099200
Write-Pointer 2099232
Write-Pointer 2099264
Write-Pointer 2099296
Write-Pointer 2099328
Write-Pointer 2099360
Write-Pointer 2099392
Write-Pointer 2099424
Write-Pointer 2099456
Write-Pointer 2099488
Write-Pointer 2099520
Write-Pointer 2099552
Write-Pointer 2099584
Write-Pointer 2099616
Write-Pointer 2099648
Write-Pointer 2099680
Write-Pointer 2099712
Write-Pointer 2099744
Write-Pointer 2099776
Write-Pointer 2099808
Write-Pointer 2099840
Write-Pointer 2099872
Write-Pointer 2099904
Write-Pointer 2099936
Write-Pointer 2099968
Write-Pointer 2100000
Write-Pointer 2100032
Write-Pointer 2100064
Write-Pointer 2100096
Write-Pointer 2100128
Write-Pointer 2100160
Write-Pointer 2100192
Write-Pointer 2100224
Write-Pointer 2100256
Write-Pointer 2100288
Write-Pointer 2100320
Write-Pointer 2100352
Write-Pointer 2100384
Write-Pointer 2100416
Write-Pointer 2100448
Write-Pointer 2100480
Write-Pointer 2100512
Write-Pointer 2100544
Write-Pointer 2100576
Write-Pointer 2100608
Write-Pointer 2100640
Write-Pointer 2100672
Write-Pointer 2100704
Write-Pointer 2100736
Write-Pointer 2100768
Write-Pointer 2100800
Write-Pointer 2100832
Write-Pointer 2100864
Write-Pointer 2100896
Write-Pointer 2100928
Write-Pointer 2100960
Write-Pointer 2100992
Write-Pointer 2101024
Write-Pointer 2101056
Write-Pointer 2101088
Write-Pointer 2101120
Write-Pointer 2101152
Write-Pointer 2101184
Write-Pointer 2101216
Write-Pointer 2101248
Write-Pointer 2101280
Write-Pointer 2101312
Write-Pointer 2101344
Write-Pointer 2101376
Write-Pointer 2101408
Write-Pointer 2101440
Write-Pointer 2101472
Write-Pointer 2101504
Write-Pointer 2101536
Write-Pointer 2101568
Write-Pointer 2101600
Write-Pointer 2101632
Write-Pointer 2101664
Write-Pointer 2101696
Write-Pointer 2101728
Write-Pointer 2101760
Write-Pointer 2101792
Write-Pointer 2101824
Write-Pointer 2101856
Write-Pointer 2101888
Write-Pointer 2101920
Write-Pointer 2101952
Write-Pointer 2101984
Write-Pointer 2102016
Write-Pointer 2102048
Write-Pointer 2102080
Write-Pointer 2102112
Write-Pointer 2102144
Write-Pointer 2102176
Write-Pointer 2102208
Write-Pointer 2102240
Write-Pointer 2102272
Write-Pointer 2102304
Write-Pointer 2102336
Write-Pointer 2102368
Write-Pointer 2102400
Write-Pointer 2102432
Write-Pointer 2102464
Write-Pointer 2102496
Write-Pointer 2102528
Write-Pointer 2102560
Write-Pointer 2102592
Write-Pointer 2102624
Write-Pointer 2102656
Write-Pointer 2102688
Write-Pointer 2102720
Write-Pointer 2102752
Write-Pointer 2102784
Write-Pointer 2102816
Write-Pointer 2102848
Write-Pointer 2102880
